"DJ"	"DAS"	"sim"	"Expe"	"Type"
62	4	0	"SILIGOOT"	"monocrop_faba"
75	5	0	"SILIGOOT"	"monocrop_faba"
91	6	0	"SILIGOOT"	"monocrop_faba"
110	7	0.529994995780437	"SILIGOOT"	"monocrop_faba"
129	8	0.731342246674566	"SILIGOOT"	"monocrop_faba"
147	9	0.991995957239046	"SILIGOOT"	"monocrop_faba"
166	10	1.36807721868985	"SILIGOOT"	"monocrop_faba"
181	11	1.76271647262226	"SILIGOOT"	"monocrop_faba"
200	12	2.42867533040224	"SILIGOOT"	"monocrop_faba"
221	13	3.45769874546991	"SILIGOOT"	"monocrop_faba"
238	14	4.59768273819595	"SILIGOOT"	"monocrop_faba"
250	15	5.61797205926409	"SILIGOOT"	"monocrop_faba"
264	16	7.09107616382031	"SILIGOOT"	"monocrop_faba"
278	17	8.93901216116499	"SILIGOOT"	"monocrop_faba"
295	18	11.8159409321206	"SILIGOOT"	"monocrop_faba"
313	19	15.8234702770988	"SILIGOOT"	"monocrop_faba"
331	20	21.0932681602475	"SILIGOOT"	"monocrop_faba"
350	21	28.3845089784782	"SILIGOOT"	"monocrop_faba"
369	22	37.8629886460216	"SILIGOOT"	"monocrop_faba"
387	23	49.2341157346164	"SILIGOOT"	"monocrop_faba"
408	24	65.817072178367	"SILIGOOT"	"monocrop_faba"
419	25	75.9955319422499	"SILIGOOT"	"monocrop_faba"
428	26	85.0743354916179	"SILIGOOT"	"monocrop_faba"
436	27	93.6837187379286	"SILIGOOT"	"monocrop_faba"
445	28	103.927328518971	"SILIGOOT"	"monocrop_faba"
459	29	120.860612373209	"SILIGOOT"	"monocrop_faba"
477	30	143.862488686278	"SILIGOOT"	"monocrop_faba"
493	31	164.723989832553	"SILIGOOT"	"monocrop_faba"
505	32	180.149979624762	"SILIGOOT"	"monocrop_faba"
518	33	196.257215841595	"SILIGOOT"	"monocrop_faba"
527	34	206.869100489612	"SILIGOOT"	"monocrop_faba"
540	35	221.217947270308	"SILIGOOT"	"monocrop_faba"
552	36	233.294415958253	"SILIGOOT"	"monocrop_faba"
565	37	245.01676391982	"SILIGOOT"	"monocrop_faba"
576	38	253.813434424224	"SILIGOOT"	"monocrop_faba"
589	39	262.917545622615	"SILIGOOT"	"monocrop_faba"
602	40	270.703942263088	"SILIGOOT"	"monocrop_faba"
613	41	276.348998900917	"SILIGOOT"	"monocrop_faba"
624	42	281.213973062264	"SILIGOOT"	"monocrop_faba"
636	43	285.729077383151	"SILIGOOT"	"monocrop_faba"
647	44	289.229717565738	"SILIGOOT"	"monocrop_faba"
654	45	291.176421134639	"SILIGOOT"	"monocrop_faba"
665	46	293.846155320944	"SILIGOOT"	"monocrop_faba"
676	47	296.098411645853	"SILIGOOT"	"monocrop_faba"
686	48	297.834324722883	"SILIGOOT"	"monocrop_faba"
695	49	299.177390152196	"SILIGOOT"	"monocrop_faba"
704	50	300.339791594681	"SILIGOOT"	"monocrop_faba"
713	51	301.344665854365	"SILIGOOT"	"monocrop_faba"
721	52	302.122252728019	"SILIGOOT"	"monocrop_faba"
